#
#   VizieR Astronomical Server vizier.u-strasbg.fr
#    Date: 2019-10-22T17:03:29 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.99+ (14-Oct-2013)	
#INFO	-ref=VIZ5daf2e714d4d	
#INFO	-out.max=9999	
#INFO	queryParameters=14	
#-oc.form=dec
#-out.max=9999
#-nav=cat:J/ApJS/193/25&tab:{J/ApJS/193/25/ysos}&tab:{J/ApJS/193/25/table8}&key:source=J/ApJS/193/25/ysos&key:source=J/ApJS/193/25/table8&HTTPPRM:&&-ref=VIZ5daf2e714d4d&-out.max=50&-out.form=HTML Table&-out.add=_r&-out.add=_RAJ,_DEJ&-sort=_r&-order=I&-oc.form=sexa&-meta.foot=1&-meta=1&-meta.ucd=2&-file=.&-meta=1&-usenav=1&-bmark=POST&
#-c.eq=J2000
#-c.r=  2
#-c.u=arcmin
#-c.geom=r
#-x.rs=10
#-source=J/ApJS/193/25/ysos,J/ApJS/193/25/table8
#-order=I
#-out=cl
#-out=RAJ2000
#-out=DEJ2000
#-out=2MASS
#
#INFO	CatalogsExamined=2	
#  2 catalogues with potential matches were examined.
#

#RESOURCE=yCat_21930025
#Name: J/ApJS/193/25
#Title: The NAN complex. II. MIPS observations (Rebull+, 2011)
#Table	J_ApJS_193_25_ysos:
#Name: J/ApJS/193/25/ysos
#Title: Complete list of YSOs: Spitzer measurements and  YSO criteria
#Column	cl	(A4)	YSO class (2)	[ucd=src.class]
#Column	RAJ2000	(F10.6)	Right Ascension in decimal degrees (J2000)	[ucd=pos.eq.ra;meta.main]
#Column	DEJ2000	(F10.6)	Declination in decimal degrees (J2000)	[ucd=pos.eq.dec;meta.main]
#Column	2MASS	(A16)	2MASS name (HHMMSSss+DDMMSSs)	[ucd=meta.id.cross]
cl;RAJ2000;DEJ2000;2MASS
II  ;313.308350;+44.216061;20531400+4412577
flat;313.308685;+44.861679;20531407+4451419
III ;313.308807;+44.274223;20531412+4416274
II  ;313.309815;+44.010929;20531437+4400391
II  ;313.310333;+44.479839;20531446+4428475
II  ;313.310608;+44.485096;20531456+4429061
II  ;313.310791;+44.434383;20531460+4426038
II  ;313.313171;+44.646751;20531515+4438483
II  ;313.315125;+43.739677;20531564+4344227
II  ;313.318665;+45.269775;
II  ;313.318878;+44.492687;20531652+4429337
III ;313.320160;+44.428261;20531683+4425419
II  ;313.321228;+44.642837;20531707+4438343
II  ;313.322876;+44.467262;
II  ;313.323822;+44.051353;20531771+4403048
II  ;313.328796;+44.243992;20531892+4414384
II  ;313.335632;+43.836247;20532055+4350103
III ;313.342804;+44.463367;20532229+4427482
III ;313.344879;+43.487274;20532276+4329143
II  ;313.349213;+45.113281;20532381+4506477
II  ;313.349792;+43.905006;20532393+4354180
II  ;313.349853;+44.365982;20532395+4421575
II  ;313.350311;+44.395008;20532407+4423419
II  ;313.352539;+44.041805;20532463+4402305
I   ;313.353333;+43.864609;20532479+4351527
II  ;313.354218;+44.212448;20532503+4412447
II  ;313.355896;+44.656017;20532542+4439215
II  ;313.357544;+44.700119;20532580+4442004
II  ;313.359009;+44.473473;20532616+4428247
flat;313.362457;+44.440948;20532699+4426273
II  ;313.362701;+44.972202;20532704+4458196
II  ;313.364227;+44.687153;20532741+4441139
II  ;313.365570;+44.176266;20532772+4410345
II  ;313.366119;+44.671528;20532788+4440174
II  ;313.373688;+44.399036;20532968+4423566
I   ;313.375305;+44.426781;
flat;313.376892;+44.445450;20533044+4426435
I   ;313.377502;+44.580460;
I   ;313.378448;+44.500694;20533083+4430026
I   ;313.378998;+43.949112;
II  ;313.379578;+44.390751;20533109+4423266
II  ;313.380341;+44.319134;20533126+4419089
II  ;313.380768;+44.226261;20533137+4413345
II  ;313.381165;+44.212727;20533148+4412458
II  ;313.383148;+44.163055;20533196+4409470
flat;313.386352;+44.819939;20533271+4449117
II  ;313.388611;+44.391281;20533328+4423286
flat;313.388672;+44.575630;
III ;313.388916;+42.918770;20533334+4255078
II  ;313.389130;+44.570023;
II  ;313.392090;+44.338249;20533410+4420178
flat;313.393005;+44.127922;
flat;313.393738;+44.302628;20533451+4418095
I   ;313.394470;+44.546379;20533469+4432470
II  ;313.394898;+44.488258;20533478+4429179
II  ;313.396790;+44.281307;20533522+4416527
II  ;313.397736;+44.463348;20533544+4427481
II  ;313.398315;+44.456497;20533559+4427234
I   ;313.398743;+44.547482;20533570+4432508
II  ;313.398926;+44.154514;20533574+4409163
flat;313.400696;+44.206440;20533616+4412230
II  ;313.401154;+44.273941;20533630+4416263
II  ;313.402100;+44.887081;20533650+4453137
I   ;313.402191;+44.575771;
II  ;313.402832;+44.716312;20533668+4442589
I   ;313.405975;+44.493866;20533742+4429385
flat;313.407623;+44.405704;
II  ;313.410309;+44.480103;20533846+4428484
II  ;313.411316;+43.940849;20533871+4356271
I   ;313.412842;+43.900906;
II  ;313.413208;+44.227035;20533915+4413374
III ;313.416138;+45.207798;20533989+4512280
II  ;313.417236;+44.179359;20534014+4410455
I   ;313.418152;+43.968281;
flat;313.419586;+44.646591;20534068+4438478
II  ;313.424225;+44.450825;20534180+4427031
II  ;313.424377;+44.145142;20534186+4408423
II  ;313.427978;+44.063515;20534270+4403486
flat;313.428162;+43.966862;20534275+4358007
II  ;313.428589;+44.360928;20534286+4421395
II  ;313.430115;+44.460224;20534323+4427367
I   ;313.430328;+43.571114;
II  ;313.430908;+44.386856;20534342+4423127
I   ;313.432800;+44.473103;20534387+4428229
II  ;313.433685;+43.574589;20534409+4334285
II  ;313.433899;+44.458916;20534412+4427319
II  ;313.437775;+44.421677;20534506+4425179
II  ;313.438812;+44.159664;20534530+4409347
II  ;313.443359;+44.454113;20534641+4427145
I   ;313.455841;+45.243565;
flat;313.458893;+44.812813;20535009+4448462
flat;313.463196;+44.503765;20535114+4430133
II  ;313.467621;+45.203899;20535224+4512142
flat;313.473297;+44.355019;
flat;313.477661;+43.872429;20535465+4352207
II  ;313.478058;+44.328354;20535475+4419420
II  ;313.479248;+44.686619;20535500+4441118
III ;313.479919;+44.965275;20535516+4457551
II  ;313.482300;+42.758575;20535572+4245309
III ;313.482605;+43.237461;20535583+4314147
II  ;313.483887;+44.187237;20535611+4411139
II  ;313.487152;+44.858879;20535690+4451319
flat;313.489654;+43.946522;20535754+4356476
II  ;313.491974;+44.315479;20535805+4418556
II  ;313.492676;+44.429401;20535822+4425460
I   ;313.495056;+44.509377;
II  ;313.498627;+44.747169;20535968+4444498
flat;313.500122;+44.326088;20540005+4419337
flat;313.504608;+44.491859;20540113+4429306
I   ;313.504883;+44.887459;20540119+4453148
flat;313.505402;+44.314415;20540128+4418521
II  ;313.511993;+44.271545;20540286+4416179
flat;313.512329;+44.338638;20540295+4420191
flat;313.516052;+44.029919;20540385+4401478
II  ;313.516418;+43.236305;20540389+4314106
I   ;313.520599;+44.328919;20540493+4419438
II  ;313.522095;+44.608139;20540531+4436293
II  ;313.524353;+44.722076;
flat;313.527771;+44.470264;20540669+4428131
flat;313.534393;+44.670956;20540827+4440154
II  ;313.536499;+44.503189;20540877+4430115
II  ;313.541229;+44.555195;20540989+4433187
II  ;313.541473;+44.166824;20540994+4410006
I   ;313.541596;+42.877087;20540993+4252371
II  ;313.544678;+44.545841;20541072+4432447
II  ;313.545319;+44.196796;20541086+4411486
flat;313.546814;+44.952755;20541123+4457097
II  ;313.548370;+44.498905;20541162+4429558
II  ;313.550415;+44.256195;20541208+4415224
II  ;313.557251;+44.409016;20541372+4424322
II  ;313.563110;+44.131428;20541514+4407532
II  ;313.565552;+44.466652;20541574+4427597
II  ;313.566925;+44.402862;20541607+4424105
II  ;313.566956;+43.441624;20541606+4326300
III ;313.573852;+44.811184;20541771+4448401
III ;313.582794;+44.772140;20541985+4446196
II  ;313.590759;+44.347412;20542177+4420510
II  ;313.593780;+44.621426;20542253+4437172
I   ;313.596832;+44.154377;20542323+4409157
II  ;313.601471;+44.913746;20542434+4454492
II  ;313.601715;+44.804833;20542441+4448176
flat;313.603272;+44.800095;20542479+4448005
flat;313.604858;+44.259262;20542517+4415334
II  ;313.604889;+44.218800;20542514+4413084
II  ;313.607696;+43.619545;20542583+4337105
II  ;313.609833;+44.390972;
II  ;313.611969;+44.225948;20542687+4413335
II  ;313.612060;+44.798077;20542691+4447531
flat;313.614014;+44.212757;20542737+4412457
I   ;313.614624;+44.795990;20542750+4447457
flat;313.616516;+44.417957;20542793+4425037
III ;313.618652;+44.912682;20542846+4454455
flat;313.622101;+44.189133;20542932+4411210
II  ;313.623077;+44.757549;20542955+4445270
flat;313.624023;+44.908142;20542976+4454294
II  ;313.628265;+44.603142;20543076+4436111
II  ;313.629364;+44.630318;20543104+4437490
I   ;313.631470;+44.909504;
I   ;313.632080;+44.347435;20543171+4420510
I   ;313.637207;+44.217728;20543293+4413039
II  ;313.639099;+44.149960;20543341+4409001
I   ;313.639587;+44.235985;
I   ;313.641510;+44.240837;
I   ;313.652252;+44.150585;20543654+4409021
II  ;313.665558;+44.164524;20543974+4409523
II  ;313.665710;+43.870998;20543978+4352155
I   ;313.665955;+42.905510;20543983+4254198
II  ;313.666656;+43.498871;20544000+4329558
II  ;313.667053;+43.726978;20544006+4343370
I   ;313.667755;+44.402500;20544027+4424091
III ;313.670471;+42.715870;20544091+4242574
II  ;313.670807;+44.365147;20544099+4421548
I   ;313.678803;+44.175396;
flat;313.679199;+44.326656;20544299+4419360
II  ;313.684692;+44.252811;20544433+4415102
flat;313.688263;+43.890930;20544516+4353272
III ;313.688812;+43.018032;20544530+4301048
II  ;313.689484;+43.559044;20544545+4333325
II  ;313.690002;+44.526997;20544561+4431372
I   ;313.690552;+44.916672;20544568+4455005
I   ;313.691315;+43.742508;20544583+4344323
II  ;313.694244;+44.201607;20544664+4412062
I   ;313.694702;+43.710403;
flat;313.695465;+44.805450;20544690+4448197
I   ;313.698090;+44.814106;
II  ;313.700836;+44.563938;20544821+4433503
II  ;313.701599;+44.004150;20544836+4400144
flat;313.708313;+44.365727;
II  ;313.709137;+44.661083;20545019+4439400
III ;313.709167;+44.965454;20545019+4457555
III ;313.711609;+42.917145;20545078+4255016
II  ;313.713257;+44.192985;20545116+4411349
II  ;313.713562;+44.541443;20545124+4432292
III ;313.713654;+43.106300;20545128+4306226
III ;313.714020;+45.251808;20545135+4515063
II  ;313.726349;+44.728611;20545433+4443430
I   ;313.729034;+44.218613;
II  ;313.729797;+44.741848;20545516+4444309
flat;313.729950;+44.234516;
I   ;313.732056;+44.216621;20545568+4413000
II  ;313.737213;+44.656723;20545692+4439243
II  ;313.738953;+44.965157;20545735+4457545
I   ;313.743683;+44.232952;20545856+4413570
II  ;313.743744;+44.885647;20545852+4453084
I   ;313.745087;+44.731937;
II  ;313.752380;+44.176399;20550055+4410351
flat;313.755829;+43.642864;20550139+4338343
III ;313.757507;+43.134747;20550180+4308051
flat;313.762573;+44.181110;20550302+4410521
flat;313.762970;+44.001987;20550312+4400076
flat;313.765045;+44.354599;
II  ;313.766541;+44.740646;20550398+4444265
III ;313.767029;+44.759422;20550407+4445341
II  ;313.768982;+44.596512;20550457+4435473
III ;313.792847;+45.050758;20551029+4503026
flat;313.793457;+43.720470;20551045+4343135
III ;313.808533;+44.673401;20551404+4440245
flat;313.810242;+43.887333;20551447+4353145
flat;313.822479;+44.151211;20551741+4409044
I   ;313.822540;+44.169621;
I   ;313.825928;+44.140560;
II  ;313.837769;+43.872238;20552106+4352198
I   ;313.839081;+43.965843;
II  ;313.839661;+44.007740;20552151+4400279
I   ;313.841156;+43.822235;
flat;313.849029;+44.038952;20552378+4402201
flat;313.854004;+43.994450;
I   ;313.855011;+44.776993;
I   ;313.855743;+43.997105;
flat;313.857880;+44.779823;20552589+4446471
I   ;313.863831;+44.032620;20552730+4401576
I   ;313.866974;+44.791130;20552806+4447281
I   ;313.868072;+44.027008;20552833+4401373
flat;313.870026;+44.201714;20552879+4412062
I   ;313.870270;+44.013348;
II  ;313.870972;+44.373657;20552903+4422254
I   ;313.871155;+43.987179;
flat;313.878052;+44.130527;20553073+4407498
I   ;313.880341;+44.804127;20553128+4448149
II  ;313.882782;+44.783497;20553187+4447004
II  ;313.884857;+43.489033;20553236+4329204
III ;313.888458;+42.808197;20553324+4248294
flat;313.892578;+43.750275;20553420+4345009
II  ;313.892944;+43.443646;20553429+4326371
flat;313.895966;+43.664414;20553501+4339519
II  ;313.899689;+44.790741;20553594+4447267
II  ;313.901306;+45.288364;20553631+4517182
flat;313.907959;+44.922321;20553791+4455205
flat;313.908051;+44.118279;
flat;313.915100;+43.456310;20553962+4327227
II  ;313.917999;+43.485805;20554029+4329088
flat;313.921509;+43.683369;20554118+4341000
II  ;313.922241;+43.642284;20554134+4338321
flat;313.924347;+43.993008;
II  ;313.927094;+44.236828;20554250+4414126
I   ;313.929077;+44.093948;
I   ;313.930145;+44.128521;20554323+4407430
II  ;313.930450;+44.053909;
flat;313.933807;+44.205753;
I   ;313.935242;+44.077339;
flat;313.935425;+44.086243;20554453+4405104
flat;313.939667;+43.066814;20554554+4304006
flat;313.947754;+43.479103;20554748+4328447
I   ;313.949493;+44.048111;20554787+4402532
III ;313.949677;+44.912109;20554791+4454436
flat;313.950348;+43.843399;20554810+4350362
I   ;313.954468;+43.481644;
I   ;313.962891;+44.010773;
flat;313.966797;+43.554123;20555202+4333150
flat;313.967651;+43.549171;20555224+4332566
II  ;313.967682;+43.829121;20555223+4349446
II  ;313.972717;+43.838421;20555345+4350183
II  ;313.976868;+43.823921;20555442+4349260
II  ;313.987854;+44.259956;20555710+4415358
I   ;313.995850;+43.814236;20555899+4348510
II  ;313.999847;+43.649139;20555994+4338571
I   ;314.001556;+43.553188;20560036+4333102
flat;314.006165;+43.595474;20560146+4335437
II  ;314.006775;+43.897846;20560162+4353523
II  ;314.006988;+43.614655;20560166+4336528
II  ;314.008606;+43.621723;20560205+4337182
flat;314.010315;+43.775787;20560246+4346329
flat;314.014435;+43.608387;20560345+4336302
II  ;314.016022;+43.624081;20560384+4337267
II  ;314.020172;+44.582321;20560484+4434562
flat;314.022217;+43.797451;20560532+4347509
flat;314.023071;+43.602825;20560553+4336103
I   ;314.027283;+43.572071;20560654+4334193
I   ;314.028076;+43.623920;20560667+4337270
II  ;314.028686;+43.734409;20560690+4344038
I   ;314.028809;+43.641762;
I   ;314.034729;+43.615048;20560833+4336545
II  ;314.038940;+43.884548;
I   ;314.041901;+43.884678;
II  ;314.042572;+43.600357;20561021+4336011
III ;314.043823;+43.160652;20561050+4309383
flat;314.045746;+43.619240;20561099+4337094
II  ;314.047302;+43.602779;20561132+4336102
flat;314.048218;+43.612045;20561156+4336435
II  ;314.048676;+44.181969;20561170+4410550
II  ;314.049042;+43.775063;20561178+4346301
flat;314.051575;+44.238415;20561239+4414182
II  ;314.052704;+43.758884;20561265+4345320
I   ;314.054352;+44.577446;20561308+4434388
II  ;314.059998;+43.601257;20561442+4336044
flat;314.060333;+43.633755;20561448+4338015
I   ;314.061890;+43.641930;20561484+4338308
flat;314.068909;+43.599495;20561654+4335583
I   ;314.070862;+43.647831;20561704+4338521
II  ;314.076202;+43.638573;20561830+4338188
I   ;314.078064;+43.573589;
II  ;314.078308;+43.652180;20561881+4339078
flat;314.078522;+43.654579;20561885+4339164
II  ;314.079498;+43.630783;20561909+4337505
flat;314.081177;+43.643734;20561948+4338373
II  ;314.081604;+43.760723;20561960+4345387
II  ;314.083435;+44.707455;20562002+4442272
II  ;314.089813;+44.753727;20562155+4445145
III ;314.091675;+44.593658;20562200+4435372
II  ;314.092499;+43.653996;20562221+4339143
II  ;314.092834;+43.632702;20562228+4337574
I   ;314.098267;+43.627953;20562359+4337407
I   ;314.100678;+43.737949;
III ;314.102081;+44.939510;20562449+4456225
III ;314.102570;+44.655922;20562460+4439213
II  ;314.103973;+43.724682;20562495+4343288
flat;314.108185;+43.655148;20562594+4339185
III ;314.109436;+44.237011;20562624+4414132
II  ;314.110382;+43.726902;20562649+4343366
III ;314.112488;+45.068573;20562699+4504067
II  ;314.113312;+43.766159;20562720+4345582
I   ;314.113434;+43.759075;20562721+4345327
II  ;314.122925;+43.248234;20562950+4314535
II  ;314.125397;+43.852425;20563010+4351086
II  ;314.125977;+43.899818;20563025+4353595
II  ;314.126068;+43.923691;20563027+4355253
II  ;314.131165;+43.746353;20563147+4344466
II  ;314.132660;+43.903477;20563184+4354125
III ;314.137970;+44.636200;20563310+4438104
III ;314.138580;+44.606201;20563329+4436225
I   ;314.145660;+43.637730;
II  ;314.146698;+43.648914;20563519+4338559
III ;314.148590;+43.771618;20563566+4346179
III ;314.148682;+43.220032;20563565+4313122
flat;314.149322;+43.886970;20563584+4353132
II  ;314.149750;+43.369808;20563595+4322112
II  ;314.150818;+43.359058;20563617+4321325
flat;314.153686;+43.640881;20563689+4338269
III ;314.154724;+44.669235;20563716+4440091
I   ;314.155975;+43.886887;
II  ;314.161957;+43.855679;20563886+4351204
I   ;314.162842;+43.898666;20563907+4353551
III ;314.164551;+44.639347;20563950+4438216
flat;314.164703;+43.739304;20563952+4344215
II  ;314.166260;+43.995933;20563991+4359453
flat;314.167206;+44.023876;20564013+4401262
flat;314.169159;+43.640850;
III ;314.171051;+42.989399;20564103+4259216
II  ;314.174225;+43.788269;20564180+4347177
II  ;314.175720;+44.055267;20564222+4403175
I   ;314.180359;+43.656479;
III ;314.180572;+43.807308;20564333+4348259
II  ;314.180878;+43.719471;20564340+4343098
I   ;314.184753;+43.624363;20564433+4337274
I   ;314.185852;+43.750317;
I   ;314.186920;+43.655285;
flat;314.189606;+43.781025;20564549+4346515
II  ;314.191315;+45.321060;20564591+4519157
I   ;314.191864;+43.722546;
flat;314.192108;+43.583675;20564612+4335002
I   ;314.192932;+43.688065;
I   ;314.193695;+43.755054;
II  ;314.194550;+43.767227;20564668+4346020
I   ;314.194550;+43.708145;
II  ;314.194855;+43.769161;20564675+4346089
I   ;314.195648;+43.743381;
flat;314.195801;+43.758369;
flat;314.195831;+44.732159;20564699+4443555
I   ;314.197998;+43.718857;
II  ;314.198364;+43.691063;
unkn;314.199002;+43.729876;
II  ;314.199341;+44.643608;20564785+4438373
flat;314.199402;+43.587776;
I   ;314.201080;+43.564438;20564824+4333520
I   ;314.201202;+43.723103;
flat;314.201477;+43.556530;
flat;314.201965;+43.561008;20564844+4333393
I   ;314.203430;+43.749851;
I   ;314.203462;+43.753509;
unkn;314.203620;+43.779474;
I   ;314.203766;+43.764248;
I   ;314.204529;+43.722858;
flat;314.205810;+43.807709;
flat;314.205963;+43.757958;20564944+4345286
flat;314.206940;+43.556339;
flat;314.208435;+43.770729;20565000+4346144
I   ;314.209045;+43.777042;
I   ;314.210358;+43.561321;
flat;314.211639;+45.088009;20565081+4505169
I   ;314.212769;+43.734806;20565108+4344050
flat;314.214233;+43.775551;20565140+4346317
II  ;314.214447;+44.592060;20565147+4435316
II  ;314.214874;+43.380589;20565157+4322497
I   ;314.215454;+43.765518;
flat;314.215485;+43.767269;20565171+4346019
unkn;314.216318;+43.742136;
flat;314.216339;+43.558781;20565193+4333310
I   ;314.216400;+43.794361;
II  ;314.217438;+44.097717;20565218+4405516
I   ;314.217987;+43.760666;
II  ;314.219269;+43.779541;
II  ;314.220154;+43.778568;
flat;314.220489;+43.640190;
I   ;314.221924;+43.734692;
I   ;314.222107;+43.728905;
I   ;314.223602;+43.787045;
I   ;314.224152;+43.630505;20565378+4337491
I   ;314.224579;+43.765537;
I   ;314.224853;+43.741428;
III ;314.225098;+44.608837;20565400+4436320
I   ;314.225769;+43.744541;
II  ;314.226410;+43.732529;
I   ;314.227142;+44.220417;20565451+4413135
I   ;314.227356;+43.791908;
I   ;314.228088;+43.723488;
flat;314.230713;+43.760166;
II  ;314.230774;+43.596798;20565539+4335477
flat;314.232605;+43.793041;20565581+4347348
II  ;314.234192;+43.796921;20565618+4347485
I   ;314.234283;+43.736237;
I   ;314.235230;+43.720505;
I   ;314.235596;+43.713543;
I   ;314.237732;+43.803593;20565704+4348126
III ;314.239563;+44.822617;20565748+4449212
II  ;314.241547;+43.816166;20565794+4348580
I   ;314.243530;+43.719883;
III ;314.243591;+43.848194;20565846+4350534
flat;314.245178;+43.778660;20565883+4346430
flat;314.246063;+43.718162;20565904+4343050
flat;314.247467;+43.774948;20565940+4346293
flat;314.249176;+43.757244;
I   ;314.250183;+43.553703;20570005+4333132
flat;314.252167;+43.758480;
flat;314.252899;+43.736359;20570068+4344104
flat;314.253815;+43.716480;20570090+4342588
I   ;314.254456;+43.802040;20570105+4348069
flat;314.256775;+43.723690;20570162+4343250
flat;314.257660;+43.794025;
II  ;314.258179;+43.981136;20570198+4358517
I   ;314.258362;+44.490730;
flat;314.258942;+43.575352;
I   ;314.259277;+43.708427;
flat;314.261108;+43.804691;
flat;314.263092;+43.656017;
flat;314.263886;+43.695766;20570334+4341444
flat;314.264038;+43.579498;
flat;314.264374;+43.672375;
flat;314.265839;+43.806950;20570377+4348248
I   ;314.266510;+43.629814;
II  ;314.267029;+44.630779;20570407+4437507
flat;314.267120;+43.567837;
flat;314.268860;+43.814770;20570452+4348526
I   ;314.270172;+43.736340;20570484+4344107
flat;314.271423;+43.791107;
I   ;314.271759;+43.574989;
II  ;314.272003;+43.829666;20570527+4349467
II  ;314.272583;+43.804955;20570543+4348175
flat;314.273132;+43.679119;
flat;314.273865;+43.797642;
flat;314.274200;+43.810871;20570581+4348388
flat;314.274445;+43.819599;20570585+4349103
I   ;314.274567;+43.565983;
II  ;314.276520;+43.708279;20570636+4342295
I   ;314.276520;+43.684517;
II  ;314.277130;+44.951626;20570651+4457056
flat;314.278931;+43.857284;20570694+4351260
II  ;314.279022;+43.823315;20570697+4349238
II  ;314.279419;+43.805443;
I   ;314.280518;+43.618000;20570733+4337043
II  ;314.281250;+43.711811;20570749+4342420
I   ;314.281433;+43.590668;
II  ;314.282654;+43.698814;20570786+4341554
I   ;314.283203;+43.690956;
II  ;314.287048;+43.750900;20570889+4345029
flat;314.287262;+43.817329;20570894+4349026
I   ;314.287323;+43.628006;20570895+4337405
II  ;314.288055;+43.765846;20570914+4345570
flat;314.292969;+43.685692;20571033+4341082
I   ;314.292999;+43.823990;20571031+4349263
I   ;314.293793;+43.532471;
II  ;314.294525;+43.815391;20571072+4348553
flat;314.295624;+43.862942;
I   ;314.295715;+43.634819;20571099+4338053
flat;314.295990;+43.685356;20571105+4341068
flat;314.297180;+43.807182;20571131+4348260
flat;314.298767;+43.801239;20571169+4348041
flat;314.302063;+43.682411;20571249+4340564
I   ;314.303253;+43.701023;
flat;314.303375;+43.820133;20571279+4349119
flat;314.304077;+43.778770;
flat;314.304321;+43.788582;20571304+4347189
II  ;314.304718;+43.905659;20571314+4354204
I   ;314.304779;+43.693943;
II  ;314.305664;+43.826164;20571333+4349340
flat;314.310638;+43.821571;20571457+4349173
flat;314.313171;+43.642826;
II  ;314.315308;+44.600357;20571567+4436011
II  ;314.315491;+43.793247;20571571+4347354
II  ;314.315796;+43.824951;20571583+4349295
II  ;314.316101;+43.967964;20571587+4358045
flat;314.317566;+43.801418;20571621+4348045
II  ;314.318176;+43.865673;20571636+4351566
II  ;314.320099;+43.784851;20571682+4347049
II  ;314.322968;+43.829399;
flat;314.323456;+43.808178;20571764+4348286
II  ;314.326477;+43.825775;20571836+4349323
flat;314.327148;+43.788723;20571851+4347190
I   ;314.327698;+43.811756;
flat;314.330170;+43.814804;20571925+4348530
I   ;314.330902;+43.873062;
II  ;314.331665;+43.459923;20571959+4327354
I   ;314.336365;+43.813938;
flat;314.338715;+43.806057;20572127+4348216
flat;314.339752;+43.984558;20572153+4359047
I   ;314.343262;+44.852608;20572237+4451092
II  ;314.345184;+43.827152;20572284+4349374
II  ;314.345184;+44.237999;20572283+4414166
II  ;314.346924;+43.876911;20572325+4352369
flat;314.351044;+43.684227;20572425+4341031
III ;314.353516;+44.329765;20572484+4419470
flat;314.355743;+43.785747;20572537+4347084
II  ;314.361206;+43.591679;20572670+4335294
flat;314.372681;+43.797794;20572943+4347515
I   ;314.374329;+43.789352;20572975+4347208
I   ;314.379883;+44.043705;20573117+4402374
I   ;314.392883;+44.094032;20573429+4405386
II  ;314.393799;+43.998535;20573452+4359547
II  ;314.401947;+44.082123;20573647+4404559
II  ;314.405426;+44.112171;20573729+4406439
II  ;314.409882;+44.116303;20573838+4406589
I   ;314.412546;+43.869117;
II  ;314.418121;+44.179604;20574034+4410465
II  ;314.418579;+43.779785;
flat;314.422882;+43.782993;20574148+4346586
unkn;314.424947;+43.859447;
flat;314.428742;+43.710545;20574288+4342378
unkn;314.431847;+43.867397;
II  ;314.439209;+45.309483;20574543+4518340
unkn;314.439352;+43.812539;
I   ;314.439667;+43.889664;20574552+4353223
flat;314.440918;+43.733807;20574580+4344014
unkn;314.442720;+43.890933;
II  ;314.443817;+44.119915;20574652+4407117
I   ;314.445007;+43.840733;20574680+4350261
I   ;314.447388;+43.890236;20574737+4353246
I   ;314.448852;+43.877773;20574774+4352395
III ;314.451386;+44.525017;20574833+4431300
I   ;314.456177;+43.877560;
II  ;314.458344;+44.135628;20575000+4408084
flat;314.462128;+43.812916;
flat;314.462189;+43.844521;20575093+4350397
I   ;314.466492;+43.897018;20575197+4353489
flat;314.467011;+43.853172;20575212+4351110
I   ;314.467406;+43.897424;
unkn;314.472848;+43.892438;
flat;314.473358;+43.868408;20575365+4352060
I   ;314.478424;+43.892525;
III ;314.479645;+43.249161;20575510+4314570
I   ;314.480164;+43.896126;
I   ;314.480194;+43.900185;
flat;314.480957;+44.090271;20575541+4405251
I   ;314.484924;+43.860992;
I   ;314.488373;+43.891167;
flat;314.488739;+43.855629;
I   ;314.493378;+43.891163;20575843+4353278
I   ;314.493988;+43.894718;
I   ;314.498627;+43.898933;
II  ;314.499359;+43.890713;20575986+4353260
III ;314.502411;+44.832226;20580058+4449560
I   ;314.504608;+43.828686;
flat;314.505676;+43.755718;20580138+4345201
flat;314.507843;+43.897114;20580191+4353492
flat;314.512787;+43.846718;
III ;314.513580;+43.351379;20580325+4321049
III ;314.518494;+43.842300;20580443+4350319
I   ;314.524658;+43.897106;20580594+4353492
I   ;314.524780;+43.875347;20580598+4352308
II  ;314.525177;+43.825886;20580604+4349328
II  ;314.525421;+43.883736;20580611+4353011
II  ;314.528046;+43.920734;20580673+4355141
I   ;314.531250;+43.664627;20580752+4339516
flat;314.531799;+43.881477;20580764+4352528
I   ;314.536255;+43.834786;
I   ;314.536316;+43.792053;20580870+4347318
II  ;314.536957;+43.783440;20580885+4346598
II  ;314.539703;+44.184044;20580952+4411027
II  ;314.541687;+43.760029;20580999+4345361
flat;314.544891;+43.885822;20581082+4353082
III ;314.545593;+44.136429;20581092+4408112
I   ;314.547668;+43.882641;20581145+4352571
I   ;314.548737;+43.896080;
II  ;314.551392;+44.349499;20581233+4420581
flat;314.554230;+43.888519;20581305+4353182
flat;314.554718;+43.832420;20581311+4349563
flat;314.556213;+43.826862;
I   ;314.556854;+43.819626;
I   ;314.557556;+43.900791;
I   ;314.568329;+43.889122;
I   ;314.568726;+43.833920;
unkn;314.569041;+43.898053;
I   ;314.569244;+43.810104;
II  ;314.569275;+43.863079;20581663+4351469
I   ;314.569916;+43.893223;20581678+4353354
II  ;314.570984;+43.895355;20581702+4353433
I   ;314.571106;+43.887825;20581708+4353161
I   ;314.571167;+43.871441;
I   ;314.571258;+43.851189;
flat;314.571991;+43.836422;
I   ;314.572540;+43.815640;
flat;314.573181;+44.020359;20581757+4401134
I   ;314.573608;+43.891972;20581767+4353310
II  ;314.574585;+43.895515;20581790+4353441
II  ;314.575928;+43.437145;20581818+4326132
unkn;314.576097;+43.808220;
II  ;314.576386;+44.830418;20581834+4449493
